x	ulp_err
-676936.22934723413	3713
14735.268708024885	-1293
488717.42799161753	-42900
834484.5049937499	-578806
80826.53246876203	-64964
-253364.55861891361	11120
-519595.07950495381	183150
-883836.81710307032	19863268
-366946.37245217332	283869
-753165.91946026566	342137
-955471.50856670795	2703463
-138637.57583791058	64279
327746.88148013456	-485068
715974.52074867894	-451262
-193800.25031143645	4254
792526.23167320318	-1161416
-784079.56715335068	333158
728633.02366092708	-559913
911877.86197434994	-345185
-311909.68538042885	456001
-635674.86059166223	55799
-624150.01967701595	509203
-383422.53468371311	191433
-384480.25041742664	325269
958053.19066269032	-509136
-22174.478507329899	10151
-914543.34937073849	468315
-107691.26312192368	56168
-499228.96148251218	5477
105628.12039021896	-2319
-913833.39050311863	495956
-563765.69238394173	293622
705415.8515133278	-323203
-993275.09774952487	440230
727984.85900033975	-435960
-390001.89393185545	17117
-870459.02806061879	393530
-62959.943550583652	38759
477861.25054236496	-681704
995749.53011978162	-745827
-585086.36570834788	356289
438496.12236971525	-369832
-187237.00273278877	16436
913573.81703030982	-40096
-60911.884056775831	53058
-379495.17600924952	556782
917356.28762130591	-40263
327341.76685231377	-266268
221606.46195247158	-4863
240065.85169098861	-169680
-971118.11495848745	2663
41901.318430166204	-3678
-164087.95398709297	81483
-95458.707626083211	4191
531501.18091157218	-398101
749687.73589768214	-4224966
873865.87503747258	-766202
-553214.89987586217	341784
518988.71658386604	-341520
-999837.09191061708	2835153
379560.85271233128	-1074556
483331.55703587318	-275732
677406.86275561957	-348380
-80310.720531729385	42149
-855260.00980299199	379970
848604.64472957968	-588078
-990180.91108160745	576850
-667955.26964323071	426628
-130552.66009802646	70804
159504.42869260372	-73819
-863123.15384429309	461028
-652636.6649145527	324517
-902623.97807363956	764654
-302628.40743345919	26565
154507.35143271022	-90184
-925558.42989400576	81245
318202.23180473462	-239688
830985.34447867854	-367027
-631553.55083259079	238384
894622.41833712277	-409275
-89570.245825114194	68818
-313191.6853970621	3522224
-366266.97284222906	32150
765979.97709325538	-68850971
-744560.93137828424	584553
904128.88694196742	-417897
834676.57037614472	-439545
-596941.36496072053	441113
45640.658168322414	-37777
548417.33081273176	-423756
797964.72733042156	-1163663
-265783.78625392582	23330
180632.02806059353	-257680
-888223.9472358122	19492
315876.1803090566	-3466
-937735.08340757992	776320
749625.53323669033	-439153
146554.77664589812	-68378
767926.27708638774	-16852
886538.92652288335	-695232
838019.16045633517	-486569
-584318.74044579652	25646
-957839.96357641183	1412888
604748.32220366248	-334663
919170.11940533563	-1344412
287948.70326162083	-215901
-223975.44606487974	19660
-166698.19506040929	98504
-412633.52663019771	282249
505735.05922371644	-11098
-48523.673057556116	2129
-870451.41183719889	406236
-682926.79205718287	577788
84460.419642273133	-7415
-811361.88145214727	4452
-891635.1711253369	416151
-238332.83943867023	122167
699353.00797402265	-1975298
342785.9811597045	-160465
891627.89064550598	-2523458
-542733.0168059204	243363
-20909.053630525421	917
201741.50998349892	-119877
189948.1191249135	-97344
-242529.39378112403	666
692350.63703215995	-999292
-736316.84583523346	1083700
-589951.20852219115	305145
98002.590003660516	-51017
-334244.15472585679	196499
-534491.44085211644	407239
313297.98662437859	-140162
298166.76164635038	-13086
-968997.0833058689	838771
